index,ok,track_id,url,duration_str,duration,title,score,view_count,genre,num_mixes,genre_counts
1366,v,s2ETa4OTnqY,https://youtu.be/s2ETa4OTnqY,5:49,349,Sander van Doorn & Julian Jordan - Kangaroo (Original Mix),0.0004,"1,519,549",Progressive House,3,"[('Progressive House', 2.33), ('Tech House', 0.33), ('Progressive Trance', 0.33)]"
1367,v,V5t5KkiqM9k,https://youtu.be/V5t5KkiqM9k,5:06,306,Crazy P -  Like A Fool,0.0004,"1,516,857",House,3,"[('House', 2.5), ('Disco', 0.5)]"
1368,v,t95nx87WcN0,https://youtu.be/t95nx87WcN0,3:38,218,3 Are Legend x W&W - Khaleesi (Extended Mix),0.0004,"1,496,697",Progressive House,3,"[('House', 1.0), ('Progressive House', 1.0), ('Dubstep', 0.5), ('Bassline', 0.5)]"
1369,v,doedi2MI-iM,https://youtu.be/doedi2MI-iM,11:00,660,BT - Skylarking (Original Mix),0.0004,"1,484,785",Progressive Trance,3,"[('Trance', 1.5), ('Progressive Trance', 1.5)]"
1370,v,PCZ_59pty74,https://youtu.be/PCZ_59pty74,7:11,431,Black Ivory - Mainline (Slayd5000),0.0004,"1,457,666",House,3,"[('House', 1.75), ('Disco', 0.75), ('Tech House', 0.25), ('House (Old School)', 0.25)]"
1371,v,3_pRpxA71Cc,https://youtu.be/3_pRpxA71Cc,9:08,548,Cirez D - On Off (Original Mix),0.0004,"1,409,551",Techno,3,"[('Techno', 1.33), ('Progressive House', 0.83), ('House', 0.5), ('Tech House', 0.33)]"
1372,x,ocD41gFxfUg,https://youtu.be/ocD41gFxfUg,3:30,210,Metrik - Freefall (Ft. Reija Lee),0.0004,"1,352,572",Drum & Bass,3,"[('Drum & Bass', 2.0)]"
1373,v,Whdz6VkzY3A,https://youtu.be/Whdz6VkzY3A,3:50,230,Garmiani - Nomad (Original Mix),0.0004,"1,345,413",Progressive House,3,"[('Progressive House', 3.0)]"
1374,v,sPPpt08rim4,https://youtu.be/sPPpt08rim4,6:42,402,Armin van Buuren feat. Emma Hewitt - Forever Is Ours,0.0004,"1,345,332",Trance,3,"[('Trance', 1.5), ('Progressive Trance', 1.0)]"
1375,v,Bn6qh4qPwc4,https://youtu.be/Bn6qh4qPwc4,4:53,293,Deadmau5 - Some Chords (Dillon Francis Remix),0.0004,"1,338,834",Progressive House,3,"[('Progressive House', 2.5), ('Progressive Trance', 0.5)]"
1376,v,XIBKzoyeUCY,https://youtu.be/XIBKzoyeUCY,5:01,301,Julian Jordan - Up In This! (Original Mix),0.0004,"1,312,828",Progressive House,3,"[('Progressive House', 3.0)]"
1377,v,aC90YRjq-6g,https://youtu.be/aC90YRjq-6g,4:30,270,R3hab & David Solano - Do It (Life In Color Anthem 2013),0.0003,"1,289,969",Progressive House,3,"[('Progressive House', 2.0), ('Trance', 0.5), ('Progressive Trance', 0.5)]"
